type	latitude	longitude	name	desc
W	41.171111111	-73.328611111	BR-73-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-16">List of Nike missile sites</a>
W	41.159722222	-73.330000000	BR-73-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-16">List of Nike missile sites</a>
W	41.327777778	-73.183611111	BR-94-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-17">List of Nike missile sites</a>
W	41.308055556	-73.172500000	BR-94-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-17">List of Nike missile sites</a>
W	41.870000000	-72.594166667	HA-08-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-17">List of Nike missile sites</a>
W	41.891666667	-72.602777778	HA-08-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-17">List of Nike missile sites</a>
W	41.751388889	-72.533888889	HA-25-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-17">List of Nike missile sites</a>
W	41.738888889	-72.515833333	HA-25-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-17">List of Nike missile sites</a>
W	41.638333333	-72.545000000	HA-36-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-18">List of Nike missile sites</a>
W	41.631666667	-72.562222222	HA-36-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-18">List of Nike missile sites</a>
W	41.606111111	-72.691388889	HA-48-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-18">List of Nike missile sites</a>
W	41.581388889	-72.685833333	HA-48-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-18">List of Nike missile sites</a>
W	41.680000000	-72.822777778	HA-67-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-18">List of Nike missile sites</a>
W	41.702222222	-72.853611111	HA-67-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-18">List of Nike missile sites</a>
W	41.810833333	-72.798611111	HA-85-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-18">List of Nike missile sites</a>
W	41.827500000	-72.830000000	HA-85-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-18">List of Nike missile sites</a>
W	25.623333333	-80.404444444	HM-101DC	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-19">List of Nike missile sites</a>
W	25.939444444	-80.298888889	HM-01/03-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-19">List of Nike missile sites</a>
W	25.961666667	-80.303333333	HM-01/03-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-19">List of Nike missile sites</a>
W	25.276388889	-80.303055556	HM-40-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-19">List of Nike missile sites</a>
W	25.261666667	-80.313888889	HM-40-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-19">List of Nike missile sites</a>
W	25.361944444	-80.561666667	HM-65/66-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-19">List of Nike missile sites</a>
