type,latitude,longitude,name
W,38.81638889,-94.15611111,KC-30-LS
W,38.77611111,-94.92833333,KC-50-CS
W,38.76055556,-94.93444444,KC-50-LS
W,39.34138889,-94.95111111,KC-80-CS
W,39.36166667,-94.94,KC-80-LS
W,38.79555556,-89.79944444,SL-10-CS
W,38.83222222,-89.79027778,SL-10-LS
W,38.28972222,-89.9475,SL-40-CS
W,38.26972222,-89.95,SL-40-LS
W,38.40833333,-90.75444444,SL-60-CS
W,38.40361111,-90.755,SL-60-LS
W,38.98194444,-90.50888889,SL-90-CS
W,38.99527778,-90.51,SL-90-LS
W,41.02333333,-96.74722222,LI-01-CS
W,41.03611111,-96.74027778,LI-01-LS
W,40.655,-96.82805556,LI-50-CS
W,40.64583333,-96.82361111,LI-50-LS
W,41.23055556,-95.71361111,OF-10-CS
W,41.23055556,-95.69916667,OF-10-LS
W,40.98833333,-96.07388889,OF-60-CS
W,40.98333333,-96.09111111,OF-60-LS
W,39.96277778,-74.78083333,W-10-CS
W,33.42222222,-104.3472222,W-10-CS
W,33.43583333,-104.3352778,W-10-LS
W,33.14083333,-104.5427778,W-50-CS
W,33.12611111,-104.5438889,W-50-LS
W,43.05388889,-78.72027778,BU-09-CS
W,43.06361111,-78.71055556,BU-09-LS
W,42.92944444,-78.62,BU-18-CS
W,42.93055556,-78.59694444,BU-18-LS
W,42.79277778,-78.69888889,BU-34/35-CS
W,42.77611111,-78.66833333,BU-34/35-LS
W,42.71027778,-78.89166667,BU-52-CS
W,42.71027778,-78.90166667,BU-52-LS
W,43.21638889,-78.95888889,NF-03-CS
W,43.22861111,-78.96277778,NF-03-LS
W,43.15861111,-78.83972222,NF-16-CS
W,43.16138889,-78.81833333,NF-16-LS
W,43.01861111,-79.01305556,NF-41-CS
W,43.00888889,-79.01555556,NF-41-LS
W,41.0325,-73.95083333,NY-03/04-CS
W,41.03777778,-73.94138889,NY-03/04-LS
W,41.05527778,-73.92805556,NY-09-CS
W,41.03777778,-73.9425,NY-09-LS
W,40.88527778,-73.76916667,NY-15-CS
W,40.85805556,-73.77111111,NY-15-LS
W,40.90611111,-73.45916667,NY-20-CS
W,40.89722222,-73.4725,NY-20-LS
W,40.80611111,-73.56027778,NY-23-CS
W,40.81055556,-73.54805556,NY-23-LS
W,40.71361111,-73.42638889,NY-24-CS
W,40.70833333,-73.40555556,NY-24-LS
W,40.95,-72.86861111,NY-25-CS
W,40.94027778,-72.87222222,NY-25-LS
W,40.59333333,-73.63444444,NY-29/30-CS
W,40.5925,-73.615,NY-29/30-LS
W,40.55833333,-73.89694444,NY-49-CS
W,40.55888889,-73.88805556,NY-49-LS
W,40.39052,-74.08783,NY-53-CS
W,40.39444444,-74.17138889,NY-54-CS
W,40.3775,-74.1875,NY-54-LS
W,40.44805556,-73.99333333,NY-56-CS
W,40.43361111,-73.98527778,NY-56-LS
W,40.41805556,-74.3125,NY-58/60-CS
W,40.41722222,-74.30944444,NY-58/60-LS
W,40.54361111,-74.39277778,NY-65-CS
W,40.55055556,-74.41111111,NY-65-LS
W,40.68638889,-74.38722222,NY-73-CS
W,40.68,-74.39111111,NY-73-LS
W,40.79916667,-74.33861111,NY-79/80-CS
W,40.80611111,-74.365,NY-79/80-LS
W,40.94916667,-74.24527778,NY-88-CS
W,40.93027778,-74.26444444,NY-88-LS
W,41.03722222,-74.19833333,NY-93/94-CS
W,41.06527778,-74.18833333,NY-93/94-LS
W,41.14638889,-74.05972222,NY-99-CS
W,41.14638889,-74.03916667,NY-99-LS
W,39.40861111,-83.89555556,CD-27-CS
W,39.40055556,-83.8825,CD-27-LS
W,38.85138889,-84.15555556,CD-46-CS
W,38.84388889,-84.14305556,CD-46-LS
W,39.00777778,-85.01,CD-63-CS
W,39.00111111,-85.03388889,CD-63-LS
W,39.55027778,-84.77277778,CD-78-CS
W,39.5575,-84.79222222,CD-78-LS
W,41.54111111,-81.62583333,CL-02-CS
W,41.54305556,-81.62694444,CL-02-LS
W,41.72222222,-81.27416667,CL-11-CS
W,41.7275,-81.28611111,CL-11-LS
W,41.62805556,-81.46916667,CL-13-CS
W,41.63138889,-81.45166667,CL-13-LS
W,41.45222222,-81.50305556,CL-34-CS
W,41.44666667,-81.49555556,CL-34-LS
W,41.4075,-81.60722222,CL-48-CS
W,41.38694444,-81.63361111,CL-48-LS
W,41.37055556,-81.76111111,CL-59-CS
W,41.36444444,-81.765,CL-59-CS
W,41.52194444,-81.66527778,CL-67-CS
W,41.52027778,-81.6825,CL-67-LS
W,41.45166667,-81.87361111,CL-69-CS
W,41.45305556,-81.87305556,CL-69-LS
W,40.22805556,-74.99888889,PH-07-CS
W,40.22083333,-74.99472222,PH-07-LS
W,40.1275,-74.88722222,PH-15-CS
W,40.11638889,-74.89166667,PH-15-LS
W,39.96416667,-74.78361111,PH-23/25-CS
W,39.96111111,-74.7975,PH-23/25-LS
W,39.8725,-74.89472222,PH-32-CS
W,39.87111111,-74.88138889,PH-32-LS
W,39.75111111,-74.99944444,PH-41/43-CS
W,39.74111111,-75.00083333,PH-41/43-LS
W,39.73694444,-75.16,PH-49-CS
W,39.74444444,-75.1675,PH-49-LS
W,39.76583333,-75.30416667,PH-58-CS
W,39.7725,-75.30027778,PH-58-LS
W,39.8625,-75.42916667,PH-67-CS
W,39.85,-75.4375,PH-67-LS
W,39.97305556,-75.47583333,PH-75-CS
W,39.96333333,-75.46972222,PH-75-LS
W,40.08388889,-75.45638889,PH-82-CS
W,40.06583333,-75.47972222,PH-82-LS
W,40.18222222,-75.34972222,PH-91-CS
W,40.18083333,-75.33916667,PH-91-LS
W,40.2425,-75.17027778,PH-99-CS
W,40.23916667,-75.16361111,PH-99-LS
W,40.57083333,-79.82972222,PI-02-CS
W,40.59666667,-79.8225,PI-02-LS
W,40.58027778,-79.89527778,PI-03-CS
W,40.59833333,-79.89194444,PI-03-LS
W,40.46111111,-79.72333333,PI-25-CS
W,40.47222222,-79.71444444,PI-25-LS
W,40.345,-79.69861111,PI-36-CS
W,40.34611111,-79.68361111,PI-36-LS
W,40.27277778,-79.76333333,PI-37-CS
W,40.2625,-79.765,PI-37-LS
W,40.25055556,-79.85638889,PI-42-CS
W,40.23166667,-79.83666667,PI-42-LS
W,40.2525,-79.95166667,PI-43-CS
W,40.25416667,-79.96638889,PI-43-LS
W,40.27694444,-80.02833333,PI-52-CS
W,40.26472222,-80.01777778,PI-52-LS
W,40.39844444,-80.16422222,PI-62-CS
W,40.37111111,-80.16416667,PI-62-LS
W,40.48166667,-80.14333333,PI-71-CS
W,40.48361111,-80.16388889,PI-71-LS
W,40.57527778,-80.00138889,PI-92-CS
W,40.59027778,-80.00916667,PI-92-LS
W,40.52722222,-80.06222222,PI-93-CS
W,40.51472222,-80.08027778,PI-93-LS
W,41.88388889,-71.20694444,PR-19-CS
W,41.88472222,-71.19916667,PR-19-LS
W,41.78305556,-71.17722222,PR-29-CS
W,41.79972222,-71.16444444,PR-29-LS
W,41.67388889,-71.24138889,PR-38-CS
W,41.67472222,-71.26555556,PR-38-LS
W,41.63,-71.43638889,PR-58-CS
W,41.61611111,-71.43277778,PR-58-LS
W,41.72083333,-71.5975,PR-69-CS
W,41.69138889,-71.63055556,PR-69-LS
W,41.8425,-71.71555556,PR-79-CS
W,41.83972222,-71.73194444,PR-79-LS
W,41.97083333,-71.57388889,PR-99-CS
W,41.9825,-71.57777778,PR-99-LS
W,44.22944444,-103.0713889,E-01-CS
W,44.20416667,-103.0977778,E-01-LS
W,44.15861111,-102.9811111,E-20-CS
W,44.15055556,-103.0033333,E-20-LS
W,44.08777778,-103.0866667,E-40-CS
W,44.10361111,-103.0986111,E-40-LS
W,44.15805556,-103.2080556,E-70-CS
W,44.15305556,-103.2163889,E-70-LS
W,30.105,-97.59166667,BG-40-CS
W,30.09166667,-97.58777778,BG-40-LS
W,30.30555556,-97.84,BG-80-CS
W,30.31444444,-97.86666667,BG-80-LS
W,33.27444444,-97.13194444,DF-01-CS
W,33.29027778,-97.13388889,DF-01-LS
W,32.76305556,-96.31222222,DF-20-CS
W,32.76666667,-96.295,DF-20-LS
W,32.39055556,-97.16694444,DF-50-CS
W,32.38,-97.16916667,DF-50-LS
W,32.84666667,-98.045,DF-70-CS
W,32.85,-98.05972222,DF-70-LS
W,32.56444444,-99.71666667,DY-10-CS
W,32.58027778,-99.71722222,DY-10-LS
W,32.28472222,-99.94361111,DY-50-CS
W,32.27111111,-99.95833333,DY-50-CS
W,37.08388889,-76.29861111,N-02-CS
W,37.09138889,-76.28666667,N-02-LS
W,36.93083333,-76.02444444,N-25/29-CS
W,36.92305556,-76.01861111,N-25/29-LS
W,36.78944444,-76.14194444,N-36-CS
W,36.7875,-76.12944444,N-36-LS
W,36.69972222,-76.34583333,N-52-CS
W,36.69027778,-76.34138889,N-52-LS
W,36.85305556,-76.46722222,N-63-CS
W,36.85111111,-76.47833333,N-63-LS
W,36.97555556,-76.55777778,N-75-CS
W,36.96222222,-76.56361111,N-75-LS
W,37.14,-76.49916667,N-85-CS
W,37.13361111,-76.50527778,N-85-LS
W,37.05222222,-76.38805556,N-93-CS
W,37.05944444,-76.39555556,N-93-LS
W,47.70277778,-117.5775,F-07-CS
W,47.68,-117.6066667,F-07-LS
W,47.55138889,-117.5538889,F-37-CS
W,47.54194444,-117.5461111,F-37-LS
W,47.5525,-117.7275,F-45-CS
W,47.58611111,-117.6752778,F-45-LS
W,47.7025,-117.7425,F-8l-CS
W,47.66055556,-117.7152778,F-8l-LS
W,46.7925,-119.4483333,H-06-CS
W,46.74833333,-119.4238889,H-06-LS
W,46.6925,-119.3858333,H-12-CS
W,46.68638889,-119.4080556,H-12-LS
W,46.395,-119.5958333,H-52-CS
W,46.39194444,-119.5341667,H-52-LS
W,46.67277778,-119.705,H-83-CS
W,46.69611111,-119.7036111,H-83-LS
W,47.77388889,-122.2777778,S-03-CS
