NAME (ENG),ALT NAMES,REF1,REF2,OBLAST,COUNTRY,IMGQUAL,ICAO,ICAOR,ICAOSRC,CAT,SIG,LATD,LATM,LATS,LOND,LONM,LONS,SRCLATLON (G=GoogleLowRes H=GoogleHighRes X=not found),ELEV1FT,ELEV1SRC,ELEV2FT,ELEV2SRC,ELEV3FT,ELEV3SRC,LAT,LON,MAG2010,R1L,R1W,R1DIMSRC (G=googlelowres H=googlehighres),R1HDG,R1NAM,R1SFC,R2LEN,R2WID,R2DIMSRC,R2HDG,R2OVRUNNE,R2OVRUNSW,R2NAM,R2SFC,R2dg,R2len,USE,OPR,MILPURPOSECODE,UNITS,NOTES,,,,,,,,,,
Murmansk,Murmashi South (US),24 km SW,Murmansk,Murmanskaya,RU,9,ULMM,,CD,M,,68,46.9,N,32,45.1,E,D,266,"C,D,T00",,,,,68.7817,32.7517,13.0,2500,45,CD,146,14/32,CONC,,,,,,,,,,,CIV,,,,Handles medium-sized airliners.  Parking for 15 aircraft at main terminal near center+AC650; 13 additional spots with helicopter stands at adjacent apron to northwest.,,,,,,,,,,
Severomorsk-3,"Malyavr, Murmansk Northeast (US)",28 km E,Murmansk,Murmanskaya,RU,9,,,,M,7,68,52.0,N,33,43.0,E,C,561,T00,564,?,509,O88,68.8667,33.7167,14.0,2500,60,H,3,17/35,CONC,,,,,,,,,,,MIL,,A,,"Appears to be a base for transport aircraft; large pads in remote taxiway loops.  It is operated by an attack fighter regiment, 279 OMSHAP, which flew 41 Su-25, 4 Su-25UB, and 5 Su-25UTG, 27 Yak-38, and one Yak-38U in the early 1990s.",,,,,,,,,,
Taybola,Taybola Northwest (US),51 km S,Murmansk,Murmanskaya,RU,4,,,,M,5,68,30.5,N,33,17.4,E,G,597,T00,,,,,68.5083,33.2900,14.0,2200,40,G,7,17/35,CONC,,,,,,,,,,,?,,,,Unknown airfield; single 500 x 50 m ramp.  May be abandoned.,,,,,,,,,,
Olenya,"Olenegorsk, Olenogorsk, Olen'ya, Olenya",8 km E,Olenegorsk,Murmanskaya,RU,9,,,,M,8,68,9.1,N,33,27.9,E,G,689,T04,702,?,699,T00,68.1517,33.4650,14.0,3500,80,H,19,18/36,CONC,,,,,,,,,,,MIL,OGA,R,,"This is the single most important strategic aviation base in the western Arctic, located 92 km south of Murmansk.  It is a major bomber airfield with wide runways and taxiways.  It has been operated by OGA (Arctic Control Group) to serve as a staging base for intercontinental bombers.   It was home to 924 MRAP that flew Tu-95MS, Tu-22M, and Tu-16.  An attack presence is provided by 88 OMAPIB, flying 31 MiG-27 and 9 MiG-23 aircraft in the early 1990s.  The 967 ODRAP flew reconnaissance with the Tu-16R.  Olenegorsk is headquarters for 5 MRAD and has served as a temporary summer facility for the Siaulyay Tu-126 AWACS airplane.  Satellite imagery from 2003 showed numerous Tu-22 aircraft.  Olenya is the name given on CAICA charts.",,,,,,,,,,
Lovozero,,2 km NW,Lovozero,Murmansk,RU,4,,,,N,4,68,1.3,N,35,0.2,E,G,499,"O,T00",,,,,68.0217,35.0033,14.0,725,80,G,86,07/25,CONC,,,,,,,,,,,CIV/MIL,,H,,Civilian airport and probably a former military helicopter base.,,,,,,,,,,
Karatayka,,15 km N,Yangarey,,RU,4,ULDT,,,N,1,68,53.8,N,61,22.6,E,G,39,,,,,,68.8967,61.3767,25.0,550,60,A,144,12/30,DIRT,,,,,,,,,,,CIV,,,,"Very minor airfield, may be abandoned.",,,,,,,,,,
Mys Kamenny,"Kameny Cape, Kamenny Mys",2 km S,Kameny Cape,Nenetskiy,RU,,USDK,,CD,N,3,68,28.0,N,73,35.8,E,G,98,,,,,,68.4667,73.5967,24.0,2460,87,A,172,15/33,SAND,,,,,,,,,,,CIV,,,,Accommodates small transport aircraft.  Position confidence is moderate and within 1 mile due to high albedo and poor contrast of surrounding area.,,,,,,,,,,
Snezhnogorsk,,5 km W,Snezhnogorsk,,RU,,UOIC,,,M,4,68,4.6,N,87,38.7,E,G,102,A,,,,,68.0767,87.6450,17.0,1200,60,A,146,13/31,ASPH,,,,,,,,,,,CIV,,,,Small engineered airfield with one or two buildings and a few narrow taxiways.,,,,,,,,,,
Olenek,,1 km NE,Olenek,Yakutia,RU,,UERO,,C,M,5,68,30.9,N,112,28.9,E,G,846,,,,,,68.5150,112.4817,-9.0,2000,100,A,177,18/36,DIRT,,,,,,,,,,,CIV,,,,Handles small transport aircraft.  Ramp space on satellite imagery is rather large.,,,,,,,,,,
Abyy,,1 km NE,Abyy,,RU,,,,,N,,68,24.2,N,145,2.8,E,G,148,T90,,,,,68.4033,145.0467,,400,20,G,158,,GRAV,,,,,,,,,,,CIV,,,,Small civilian airstrip.  Exact position and alignment uncertain due to poor satellite imagery.,,,,,,,,,,
Belaya Gora,,3 km NE,Belaya Gora,Yakutia,RU,,UESG,,,N,3,68,33.4,N,146,13.9,E,G,118,,,,,,68.5567,146.2317,-14.0,1800,60,A,58,07/25,DIRT,,,,,,,,,,,CIV,,,,Services small transport planes,,,,,,,,,,
Chersky,Cherskiy,1 km S,Cherskiy,Yakutia,RU,,UESS,,CD,M,5,68,44.4,N,161,20.4,E,G,20,?,98,T97,,,68.7400,161.3400,-7.0,1700,40,A,120,13/31,ASPH,,,,,,,,,,,CIV,,,,Services small transport aircraft. Elevation given as 6 (TPC) and 30 (JNC).  Runway width estimated from Google images.,,,,,,,,,,
Ostrovnoye,,1 km N,Ostrovnoye,Chukotka,RU,,,,,N,1,68,7.0,N,164,10.1,E,G,299,T,,,,,68.1167,164.1683,-6.0,400,30,G,122,13/31,DIRT,,,,,,,,,,,CIV,,,,Airfield location uncertain.,,,,,,,,,,
Bilibino,,2 km SW,Bilibino,Chukotka,RU,,,,,N,1,68,2.5,N,166,25.4,E,G,1401,T,,,,,68.0417,166.4233,-4.0,900,20,G,91,10/28,GRAV,,,,,,,,,,,CIV,,,,Airfield location uncertain.,,,,,,,,,,
Baranikha,,1 km SW,Baranikha,Chukotka,RU,,,,,N,2,68,29.8,N,168,15.4,E,G,699,T,,,,,68.4967,168.2567,-2.0,1300,30,G,163,18/36,GRAV,,,,,,,,,,,CIV,,,,Small gravel airstrip.,,,,,,,,,,
Mys Shmidta,"Shmidt Cape, Mys Schmidia",3 km SE,Mys Shmidta,Chukotka,RU,9,UHMI,,CD,M,6,68,52.1,N,179,22.5,W,H,20,,,,,,68.8683,-179.3750,6.0,2500,60,HA,153,14/32,CONC,,,,,,,,,,,MIL/CIV,OGA,Z,,"Major airfield with 1100 x 80 m concrete tarmac.  Gravel overrun suggests runway was to eventually be extended to 3000 m.  Operated by OGA (Arctic Control Group), this is an arctic staging base for intercontinental bomber flights.  In the spring of 1952, CIA reports inicated that the Soviet Union was operating the TU-4 (a strategic bomber based on a re-engineered B-29 Superfortress) from both Mys Shmidta and Provideniya.",,,,,,,,,,
Afrikanda,,2 km N,Afrikanda,Murmanskaya,RU,,,,,M,6,67,27.3,N,32,47.2,E,C,541,"T04,?",505,?,,,67.4550,32.7867,13.0,2500,50,,106,,CONC,,,,,,,,,,,MIL,PVO,I,,"This interceptor base was home to 431 IAP and possibly 470 IAP, flying Su-15 and Su-27 aircraft in the early 1990s.",,,,,,,,,,
